Electricity Pricing [$],6h Prediction Electricity Pricing [$],12h Prediction Electricity Pricing [$],24h Prediction Electricity Pricing [$]
0.37,0.41,0.48,0.44
0.37,0.43,0.48,0.48
0.35,0.44,0.48,0.54
0.37,0.44,0.48,0.57
0.38,0.45,0.48,0.61
0.4,0.48,0.46,0.56
0.41,0.48,0.48,0.54
0.43,0.48,0.45,0.53
0.44,0.48,0.41,0.52
0.44,0.48,0.4,0.51
0.45,0.48,0.4,0.51
0.48,0.46,0.41,0.5
0.48,0.48,0.44,0.49
0.48,0.45,0.48,0.47
0.48,0.41,0.54,0.46
0.48,0.4,0.57,0.45
0.48,0.4,0.61,0.44
0.46,0.41,0.56,0.42
0.48,0.44,0.54,0.41
0.45,0.48,0.53,0.4
0.41,0.54,0.52,0.35
0.4,0.57,0.51,0.32
0.4,0.61,0.51,0.27
0.41,0.56,0.5,0.25
0.44,0.54,0.49,0.25
0.48,0.53,0.47,0.25
0.54,0.52,0.46,0.28
0.57,0.51,0.45,0.36
0.61,0.51,0.44,0.36
0.56,0.5,0.42,0.36
0.54,0.49,0.41,0.35
0.53,0.47,0.4,0.35
0.52,0.46,0.35,0.36
0.51,0.45,0.32,0.36
0.51,0.44,0.27,0.35
0.5,0.42,0.25,0.32
0.49,0.41,0.25,0.31
0.47,0.4,0.25,0.3
0.46,0.35,0.28,0.28
0.45,0.32,0.36,0.28
0.44,0.27,0.36,0.27
0.42,0.25,0.36,0.25
0.41,0.25,0.35,0.25
0.4,0.25,0.35,0.24
0.35,0.28,0.36,0.2
0.32,0.36,0.36,0.2
0.27,0.36,0.35,0.2
0.25,0.36,0.32,0.19
0.25,0.35,0.31,0.2
0.25,0.35,0.3,0.2
0.28,0.36,0.28,0.2
0.36,0.36,0.28,0.21
0.36,0.35,0.27,0.21
0.36,0.32,0.25,0.21
0.35,0.31,0.25,0.21
0.35,0.3,0.24,0.21
0.36,0.28,0.2,0.21
0.36,0.28,0.2,0.21
0.35,0.27,0.2,0.21
0.32,0.25,0.19,0.21
0.31,0.25,0.2,0.21
0.3,0.24,0.2,0.21
0.28,0.2,0.2,0.21
0.28,0.2,0.21,0.21
0.27,0.2,0.21,0.21
0.25,0.19,0.21,0.2
0.25,0.2,0.21,0.18
0.24,0.2,0.21,0.14
0.2,0.2,0.21,0.13
0.2,0.21,0.21,0.11
0.2,0.21,0.21,0.1
0.19,0.21,0.21,0.1
0.2,0.21,0.21,0.11
0.2,0.21,0.21,0.13
0.2,0.21,0.21,0.15
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.25
0.21,0.21,0.2,0.25
0.21,0.21,0.18,0.25
0.21,0.21,0.14,0.24
0.21,0.21,0.13,0.21
0.21,0.21,0.11,0.18
0.21,0.21,0.1,0.18
0.21,0.2,0.1,0.19
0.21,0.18,0.11,0.2
0.21,0.14,0.13,0.2
0.21,0.13,0.15,0.2
0.21,0.11,0.21,0.2
0.21,0.1,0.25,0.18
0.2,0.1,0.25,0.18
0.18,0.11,0.25,0.15
0.14,0.13,0.24,0.11
0.13,0.15,0.21,0.15
0.11,0.21,0.18,0.12
0.1,0.25,0.18,0.11
0.1,0.25,0.19,0.11
0.11,0.25,0.2,0.13
0.13,0.24,0.2,0.16
0.15,0.21,0.2,0.19
0.21,0.18,0.2,0.21
0.25,0.18,0.18,0.2
0.25,0.19,0.18,0.2
0.25,0.2,0.15,0.2
0.24,0.2,0.11,0.2
0.21,0.2,0.15,0.21
0.18,0.2,0.12,0.21
0.18,0.18,0.11,0.2
