Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7,24,7,0,,,,46.26,0,0,0,0.0
8,1,1,0,,,,58.608,0,0,0,0.0
8,2,1,0,,,,57.984,0,0,0,0.0
8,3,1,0,,,,55.14,0,0,0,0.0
8,4,1,0,,,,58.068,0,0,0,0.0
8,5,1,0,,,,59.904,0,0,0,0.0
8,6,1,0,,,,60.576,0,0,0,1.6666666666666667
8,7,1,0,,,,56.076,0,0,0,55.833333333333336
8,8,1,0,,,,62.892,0,0,0,188.33333333333331
8,9,1,0,,,,100.452,0,0,0,235.0
8,10,1,0,,,,76.92,0,0,0,295.0
8,11,1,0,,,,63.156,0,0,0,153.33333333333334
8,12,1,0,,,,40.74,0,0,0,612.5
8,13,1,0,,,,19.344,0,0,0,935.0
8,14,1,0,,,,55.932,0,0,0,501.6666666666667
8,15,1,0,,,,40.248,0,0,0,640.8333333333334
8,16,1,0,,,,46.02,0,0,0,576.6666666666666
8,17,1,0,,,,49.752,0,0,0,438.3333333333333
8,18,1,0,,,,52.848,0,0,0,440.0
8,19,1,0,,,,57.456,0,0,0,297.5
8,20,1,0,,,,64.14,0,0,0,179.16666666666666
8,21,1,0,,,,74.28,0,0,0,66.66666666666667
8,22,1,0,,,,75.888,0,0,0,35.0
8,23,1,0,,,,60.3,0,0,0,0.8333333333333334
8,24,1,0,,,,56.82,0,0,0,0.0
8,1,2,0,,,,56.172,0,0,0,0.0
8,2,2,0,,,,57.516,0,0,0,0.0
8,3,2,0,,,,54.372,0,0,0,0.0
8,4,2,0,,,,59.4,0,0,0,0.0
8,5,2,0,,,,53.652,0,0,0,0.8333333333333334
8,6,2,0,,,,52.872,0,0,0,20.0
8,7,2,0,,,,49.656,0,0,0,65.0
8,8,2,0,,,,65.304,0,0,0,164.16666666666666
8,9,2,0,,,,91.656,0,0,0,184.16666666666663
8,10,2,0,,,,80.832,0,0,0,175.83333333333334
8,11,2,0,,,,65.016,0,0,0,291.6666666666667
8,12,2,0,,,,64.344,0,0,0,455.0
8,13,2,0,,,,76.008,0,0,0,300.8333333333333
8,14,2,0,,,,89.352,0,0,0,149.16666666666666
8,15,2,0,,,,95.4,0,0,0,80.83333333333333
8,16,2,0,,,,77.04,0,0,0,85.83333333333333
8,17,2,0,,,,78.924,0,0,0,66.66666666666667
8,18,2,0,,,,69.816,0,0,0,119.16666666666669
8,19,2,0,,,,71.112,0,0,0,105.0
8,20,2,0,,,,75.744,0,0,0,83.33333333333333
8,21,2,0,,,,72.624,0,0,0,28.33333333333333
8,22,2,0,,,,75.54,0,0,0,8.333333333333334
8,23,2,0,,,,61.836,0,0,0,0.0
8,24,2,0,,,,54.18,0,0,0,0.0
8,1,3,0,,,,52.56,0,0,0,0.0
8,2,3,0,,,,55.968,0,0,0,0.0
8,3,3,0,,,,56.592,0,0,0,0.0
8,4,3,0,,,,53.568,0,0,0,0.0
8,5,3,0,,,,59.112,0,0,0,0.0
8,6,3,0,,,,55.86,0,0,0,0.0
8,7,3,0,,,,63.048,0,0,0,10.0
8,8,3,0,,,,74.292,0,0,0,28.33333333333333
8,9,3,0,,,,99.012,0,0,0,73.33333333333333
8,10,3,0,,,,88.476,0,0,0,56.66666666666666
8,11,3,0,,,,89.052,0,0,0,43.333333333333336
8,12,3,0,,,,81.816,0,0,0,38.333333333333336
8,13,3,0,,,,62.148,0,0,0,351.6666666666667
8,14,3,0,,,,78.852,0,0,0,195.0
8,15,3,0,,,,62.184,0,0,0,272.50000000000006
8,16,3,0,,,,55.932,0,0,0,285.0
8,17,3,0,,,,66.6,0,0,0,288.3333333333333
8,18,3,0,,,,62.088,0,0,0,165.83333333333334
8,19,3,0,,,,63.108,0,0,0,152.5
8,20,3,0,,,,71.268,0,0,0,60.833333333333336
8,21,3,0,,,,78.144,0,0,0,29.166666666666668
8,22,3,0,,,,76.044,0,0,0,1.6666666666666667
8,23,3,0,,,,57.9,0,0,0,0.0
8,24,3,0,,,,54.6,0,0,0,0.0
8,1,4,0,,,,53.736,0,0,0,0.0
8,2,4,0,,,,56.832,0,0,0,0.0
8,3,4,0,,,,55.812,0,0,0,0.0
8,4,4,0,,,,56.52,0,0,0,0.0
8,5,4,0,,,,51.816,0,0,0,0.0
8,6,4,0,,,,57.024,0,0,0,0.0
8,7,4,0,,,,62.808,0,0,0,6.666666666666667
8,8,4,0,,,,75.408,0,0,0,33.333333333333336
8,9,4,0,,,,113.412,0,0,0,55.0
8,10,4,0,,,,79.608,0,0,0,217.5
8,11,4,0,,,,65.568,0,0,0,450.0
8,12,4,0,,,,57.48,0,0,0,428.3333333333333
8,13,4,0,,,,75.456,0,0,0,217.5
8,14,4,0,,,,80.352,0,0,0,195.83333333333331
8,15,4,0,,,,74.244,0,0,0,161.66666666666666
8,16,4,0,,,,73.68,0,0,0,90.83333333333331
8,17,4,0,,,,72.24,0,0,0,111.66666666666669
8,18,4,0,,,,69.132,0,0,0,117.5
8,19,4,0,,,,71.712,0,0,0,126.66666666666669
8,20,4,0,,,,76.536,0,0,0,58.333333333333336
8,21,4,0,,,,73.224,0,0,0,65.83333333333333
8,22,4,0,,,,76.236,0,0,0,2.5
8,23,4,0,,,,62.616,0,0,0,0.0
8,24,4,0,,,,58.092,0,0,0,0.0
8,1,5,0,,,,57.648,0,0,0,0.0
8,2,5,0,,,,56.856,0,0,0,0.0
8,3,5,0,,,,60.012,0,0,0,0.0
8,4,5,0,,,,60.228,0,0,0,0.0
8,5,5,0,,,,57.156,0,0,0,0.0
8,6,5,0,,,,59.7,0,0,0,0.8333333333333334
8,7,5,0,,,,57.108,0,0,0,40.0
8,8,5,0,,,,75.636,0,0,0,46.66666666666666
8,9,5,0,,,,98.556,0,0,0,90.0
8,10,5,0,,,,86.304,0,0,0,161.66666666666666
8,11,5,0,,,,76.68,0,0,0,218.33333333333331
8,12,5,0,,,,63.9,0,0,0,320.8333333333333
8,13,5,0,,,,56.304,0,0,0,612.5
8,14,5,0,,,,60.96,0,0,0,333.3333333333333
8,15,5,0,,,,49.032,0,0,0,600.8333333333334
8,16,5,0,,,,35.976,0,0,0,523.3333333333334
8,17,5,0,,,,36.792,0,0,0,690.8333333333334
8,18,5,0,,,,48.9,0,0,0,385.8333333333333
8,19,5,0,,,,62.208,0,0,0,271.6666666666667
8,20,5,0,,,,72.528,0,0,0,145.0
8,21,5,0,,,,75.132,0,0,0,47.5
