Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
8,22,5,0,,,,83.232,0,0,0,5.0
8,23,5,0,,,,58.452,0,0,0,0.0
8,24,5,0,,,,56.232,0,0,0,0.0
8,1,6,0,,,,52.2,0,0,0,0.0
8,2,6,0,,,,54.828,0,0,0,0.0
8,3,6,0,,,,53.376,0,0,0,0.0
8,4,6,0,,,,57.732,0,0,0,0.0
8,5,6,0,,,,57.696,0,0,0,0.0
8,6,6,0,,,,61.32,0,0,0,0.1388888916666666
8,7,6,0,,,,61.344,0,0,0,16.527777775
8,8,6,0,,,,70.668,0,0,0,32.916666666666664
8,9,6,0,,,,117.948,0,0,0,81.25
8,10,6,0,,,,82.284,0,0,0,165.55555558333336
8,11,6,0,,,,79.392,0,0,0,197.36111108333336
8,12,6,0,,,,78.552,0,0,0,172.91666666666666
8,13,6,0,,,,58.056,0,0,0,227.77777775
8,14,6,0,,,,60.204,0,0,0,164.02777775
8,15,6,0,,,,45.864,0,0,0,217.08333333333331
8,16,6,0,,,,65.424,0,0,0,205.97222225
8,17,6,0,,,,76.752,0,0,0,305.0
8,18,6,0,,,,77.484,0,0,0,186.25
8,19,6,0,,,,67.86,0,0,0,118.88888891666666
8,20,6,0,,,,71.016,0,0,0,57.63888889166667
8,21,6,0,,,,75.048,0,0,0,28.75
8,22,6,0,,,,71.556,0,0,0,1.9444444416666669
8,23,6,0,,,,59.076,0,0,0,0.0
8,24,6,0,,,,52.752,0,0,0,0.0
8,1,7,0,,,,50.832,0,0,0,0.0
8,2,7,0,,,,51.516,0,0,0,0.0
8,3,7,0,,,,51.924,0,0,0,0.0
8,4,7,0,,,,57.852,0,0,0,0.0
8,5,7,0,,,,56.496,0,0,0,0.0
8,6,7,0,,,,54.588,0,0,0,0.1620370333333333
8,7,7,0,,,,55.692,0,0,0,19.837962966666662
8,8,7,0,,,,65.292,0,0,0,41.73611110833334
8,9,7,0,,,,96.384,0,0,0,108.40277775
8,10,7,0,,,,64.128,0,0,0,205.50925925
8,11,7,0,,,,32.988,0,0,0,268.0324074166667
8,12,7,0,,,,34.416,0,0,0,259.65277775
8,13,7,0,,,,37.776,0,0,0,289.07407408333336
8,14,7,0,,,,15.24,0,0,0,218.03240741666664
8,15,7,0,,,,20.592,0,0,0,256.875
8,16,7,0,,,,40.98,0,0,0,234.6064815
8,17,7,0,,,,60.42,0,0,0,288.88888891666664
8,18,7,0,,,,65.256,0,0,0,181.875
8,19,7,0,,,,70.02,0,0,0,122.037037
8,20,7,0,,,,72.252,0,0,0,70.43981481666667
8,21,7,0,,,,79.224,0,0,0,34.51388889166667
8,22,7,0,,,,72.108,0,0,0,3.7962963
8,23,7,0,,,,57.684,0,0,0,0.0
8,24,7,0,,,,54.576,0,0,0,0.0
8,1,1,0,,,,55.308,0,0,0,0.0
8,2,1,0,,,,52.788,0,0,0,0.0
8,3,1,0,,,,55.128,0,0,0,0.0
8,4,1,0,,,,54.924,0,0,0,0.0
8,5,1,0,,,,54.264,0,0,0,0.0
8,6,1,0,,,,56.748,0,0,0,0.1890432083333333
8,7,1,0,,,,58.128,0,0,0,17.58873456666667
8,8,1,0,,,,69.696,0,0,0,39.525462966666666
8,9,1,0,,,,79.8,0,0,0,100.91435183333331
8,10,1,0,,,,66.816,0,0,0,185.59413583333333
8,11,1,0,,,,54.744,0,0,0,247.84336416666665
8,12,1,0,,,,26.1,0,0,0,232.09490741666664
8,13,1,0,,,,12.384,0,0,0,309.33641975000006
8,14,1,0,,,,16.248,0,0,0,234.51003083333333
8,15,1,0,,,,7.38,0,0,0,283.4375
8,16,1,0,,,,43.572,0,0,0,243.70756175
8,17,1,0,,,,72.456,0,0,0,304.25925925
8,18,1,0,,,,71.76,0,0,0,201.77083333333331
8,19,1,0,,,,72.78,0,0,0,131.26543208333334
8,20,1,0,,,,86.616,0,0,0,84.54089508333333
8,21,1,0,,,,90.756,0,0,0,38.46064815
8,22,1,0,,,,92.052,0,0,0,5.401234566666667
8,23,1,0,,,,88.836,0,0,0,0.0
8,24,1,0,,,,80.004,0,0,0,0.0
8,1,2,0,,,,82.98,0,0,0,0.0
8,2,2,0,,,,85.98,0,0,0,0.0
8,3,2,0,,,,82.944,0,0,0,0.0
8,4,2,0,,,,83.1,0,0,0,0.0
8,5,2,0,,,,82.644,0,0,0,0.0
8,6,2,0,,,,87.912,0,0,0,0.0
8,7,2,0,,,,83.472,0,0,0,0.0
8,8,2,0,,,,88.932,0,0,0,0.0
8,9,2,0,,,,112.392,0,0,0,0.0
8,10,2,0,,,,94.68,0,0,0,0.0
8,11,2,0,,,,94.62,0,0,0,0.0
8,12,2,0,,,,94.632,0,0,0,0.0
8,13,2,0,,,,92.04,0,0,0,0.0
8,14,2,0,,,,31.86,0,0,0,0.0
8,15,2,0,,,,21.18,0,0,0,0.0
8,16,2,0,,,,46.092,0,0,0,0.0
8,17,2,0,,,,43.248,0,0,0,309.1666666666667
8,18,2,0,,,,61.98,0,0,0,204.16666666666663
8,19,2,0,,,,68.016,0,0,0,58.333333333333336
8,20,2,0,,,,71.424,0,0,0,40.833333333333336
8,21,2,0,,,,79.032,0,0,0,12.5
8,22,2,0,,,,74.532,0,0,0,0.8333333333333334
8,23,2,0,,,,59.148,0,0,0,0.0
8,24,2,0,,,,55.056,0,0,0,0.0
8,1,3,0,,,,52.08,0,0,0,0.0
8,2,3,0,,,,56.46,0,0,0,0.0
8,3,3,0,,,,64.536,0,0,0,0.0
8,4,3,0,,,,60.3,0,0,0,0.0
8,5,3,0,,,,57.6,0,0,0,0.0
8,6,3,0,,,,56.772,0,0,0,0.0
8,7,3,0,,,,57.192,0,0,0,35.0
8,8,3,0,,,,75.264,0,0,0,55.833333333333336
8,9,3,0,,,,75.312,0,0,0,143.33333333333334
8,10,3,0,,,,74.184,0,0,0,166.66666666666666
8,11,3,0,,,,91.104,0,0,0,45.0
8,12,3,0,,,,89.58,0,0,0,90.83333333333331
8,13,3,0,,,,81.252,0,0,0,72.5
8,14,3,0,,,,88.764,0,0,0,111.66666666666669
8,15,3,0,,,,76.332,0,0,0,137.5
8,16,3,0,,,,61.356,0,0,0,220.0
8,17,3,0,,,,61.908,0,0,0,288.3333333333333
8,18,3,0,,,,68.64,0,0,0,175.83333333333334
8,19,3,0,,,,73.872,0,0,0,66.66666666666667
8,20,3,0,,,,78.768,0,0,0,11.666666666666666
8,21,3,0,,,,75.072,0,0,0,2.5
8,22,3,0,,,,76.524,0,0,0,0.0
8,23,3,0,,,,60.48,0,0,0,0.0
8,24,3,0,,,,52.476,0,0,0,0.0
8,1,4,0,,,,52.32,0,0,0,0.0
8,2,4,0,,,,57.6,0,0,0,0.0
8,3,4,0,,,,56.592,0,0,0,0.0
8,4,4,0,,,,54.444,0,0,0,0.0
8,5,4,0,,,,54.552,0,0,0,0.0
8,6,4,0,,,,53.436,0,0,0,0.0
8,7,4,0,,,,60.504,0,0,0,7.5
8,8,4,0,,,,80.616,0,0,0,33.333333333333336
8,9,4,0,,,,101.82,0,0,0,125.83333333333331
8,10,4,0,,,,56.352,0,0,0,390.8333333333333
8,11,4,0,,,,70.788,0,0,0,427.5
8,12,4,0,,,,78.072,0,0,0,159.16666666666666
8,13,4,0,,,,83.712,0,0,0,112.5
8,14,4,0,,,,77.292,0,0,0,148.33333333333334
8,15,4,0,,,,76.092,0,0,0,130.0
8,16,4,0,,,,73.164,0,0,0,116.66666666666669
8,17,4,0,,,,71.988,0,0,0,141.66666666666666
8,18,4,0,,,,73.068,0,0,0,68.33333333333333
8,19,4,0,,,,72.768,0,0,0,37.5
8,20,4,0,,,,72.12,0,0,0,29.166666666666668
8,21,4,0,,,,74.928,0,0,0,15.0
8,22,4,0,,,,74.904,0,0,0,1.6666666666666667
8,23,4,0,,,,55.836,0,0,0,0.0
8,24,4,0,,,,51.564,0,0,0,0.0
8,1,5,0,,,,50.628,0,0,0,0.0
8,2,5,0,,,,53.256,0,0,0,0.0
8,3,5,0,,,,51.972,0,0,0,0.0
8,4,5,0,,,,52.896,0,0,0,0.0
8,5,5,0,,,,49.56,0,0,0,0.0
8,6,5,0,,,,55.152,0,0,0,0.0
8,7,5,0,,,,56.856,0,0,0,13.333333333333334
8,8,5,0,,,,70.668,0,0,0,48.333333333333336
8,9,5,0,,,,101.472,0,0,0,155.0
8,10,5,0,,,,85.74,0,0,0,130.83333333333334
8,11,5,0,,,,65.472,0,0,0,270.0
8,12,5,0,,,,58.188,0,0,0,385.8333333333333
8,13,5,0,,,,45.54,0,0,0,491.6666666666667
8,14,5,0,,,,60.996,0,0,0,355.0
8,15,5,0,,,,62.04,0,0,0,294.1666666666667
8,16,5,0,,,,55.872,0,0,0,250.83333333333331
8,17,5,0,,,,68.568,0,0,0,195.83333333333331
8,18,5,0,,,,64.272,0,0,0,157.5
8,19,5,0,,,,71.388,0,0,0,110.83333333333331
8,20,5,0,,,,66.54,0,0,0,120.83333333333331
8,21,5,0,,,,71.328,0,0,0,47.5
8,22,5,0,,,,74.94,0,0,0,11.666666666666666
8,23,5,0,,,,54.78,0,0,0,0.0
8,24,5,0,,,,52.872,0,0,0,0.0
8,1,6,0,,,,52.092,0,0,0,0.0
8,2,6,0,,,,53.016,0,0,0,0.0
8,3,6,0,,,,54.612,0,0,0,0.0
8,4,6,0,,,,52.356,0,0,0,0.0
8,5,6,0,,,,53.136,0,0,0,0.0
8,6,6,0,,,,52.68,0,0,0,0.0
8,7,6,0,,,,59.916,0,0,0,8.333333333333334
8,8,6,0,,,,65.112,0,0,0,34.166666666666664
8,9,6,0,,,,101.928,0,0,0,45.0
8,10,6,0,,,,98.46,0,0,0,59.16666666666666
8,11,6,0,,,,78.54,0,0,0,105.83333333333331
8,12,6,0,,,,83.208,0,0,0,94.16666666666669
8,13,6,0,,,,78.228,0,0,0,122.5
8,14,6,0,,,,78.108,0,0,0,188.33333333333331
8,15,6,0,,,,60.696,0,0,0,201.66666666666663
8,16,6,0,,,,66.66,0,0,0,130.83333333333334
8,17,6,0,,,,68.364,0,0,0,203.33333333333331
8,18,6,0,,,,59.232,0,0,0,230.83333333333331
8,19,6,0,,,,69.972,0,0,0,126.66666666666669
8,20,6,0,,,,70.524,0,0,0,84.16666666666667
8,21,6,0,,,,72.588,0,0,0,57.5
8,22,6,0,,,,75.216,0,0,0,8.333333333333334
8,23,6,0,,,,64.764,0,0,0,0.0
8,24,6,0,,,,53.964,0,0,0,0.0
8,1,7,0,,,,55.272,0,0,0,0.0
8,2,7,0,,,,51.804,0,0,0,0.0
8,3,7,0,,,,53.28,0,0,0,0.0
8,4,7,0,,,,52.428,0,0,0,0.0
8,5,7,0,,,,52.8,0,0,0,0.0
8,6,7,0,,,,52.884,0,0,0,0.0
8,7,7,0,,,,53.436,0,0,0,33.333333333333336
8,8,7,0,,,,54.648,0,0,0,142.5
8,9,7,0,,,,66.912,0,0,0,268.33333333333337
8,10,7,0,,,,53.16,0,0,0,455.8333333333333
8,11,7,0,,,,44.316,0,0,0,454.1666666666667
8,12,7,0,,,,32.184,0,0,0,526.6666666666666
8,13,7,0,,,,35.964,0,0,0,475.0
8,14,7,0,,,,45.348,0,0,0,512.5
8,15,7,0,,,,24.612,0,0,0,637.5
8,16,7,0,,,,33.708,0,0,0,510.8333333333333
8,17,7,0,,,,29.484,0,0,0,549.1666666666666
8,18,7,0,,,,37.392,0,0,0,381.6666666666667
8,19,7,0,,,,35.22,0,0,0,466.6666666666667
8,20,7,0,,,,69.144,0,0,0,141.66666666666666
8,21,7,0,,,,72.432,0,0,0,67.5
8,22,7,0,,,,74.532,0,0,0,15.0
8,23,7,0,,,,57.264,0,0,0,0.0
8,24,7,0,,,,55.584,0,0,0,0.0
8,1,1,0,,,,54.024,0,0,0,0.0
8,2,1,0,,,,50.82,0,0,0,0.0
8,3,1,0,,,,52.128,0,0,0,0.0
8,4,1,0,,,,54.432,0,0,0,0.0
8,5,1,0,,,,52.512,0,0,0,0.0
8,6,1,0,,,,52.032,0,0,0,0.0
8,7,1,0,,,,54.588,0,0,0,19.166666666666668
8,8,1,0,,,,64.98,0,0,0,73.33333333333333
8,9,1,0,,,,97.044,0,0,0,180.0
8,10,1,0,,,,93.144,0,0,0,126.66666666666669
8,11,1,0,,,,74.244,0,0,0,150.0
8,12,1,0,,,,72.144,0,0,0,245.0
8,13,1,0,,,,66.084,0,0,0,347.5
8,14,1,0,,,,97.74,0,0,0,74.16666666666667
8,15,1,0,,,,74.868,0,0,0,147.5
8,16,1,0,,,,73.26,0,0,0,130.0
8,17,1,0,,,,58.884,0,0,0,175.0
8,18,1,0,,,,52.944,0,0,0,274.1666666666667
8,19,1,0,,,,56.028,0,0,0,264.1666666666667
8,20,1,0,,,,67.536,0,0,0,94.16666666666669
8,21,1,0,,,,78.036,0,0,0,33.333333333333336
8,22,1,0,,,,77.796,0,0,0,2.5
8,23,1,0,,,,54.804,0,0,0,0.0
8,24,1,0,,,,54.3,0,0,0,0.0
8,1,2,0,,,,52.74,0,0,0,0.0
8,2,2,0,,,,55.884,0,0,0,0.0
8,3,2,0,,,,57.528,0,0,0,0.0
8,4,2,0,,,,51.588,0,0,0,0.0
8,5,2,0,,,,52.824,0,0,0,0.0
8,6,2,0,,,,57.156,0,0,0,0.0
8,7,2,0,,,,63.216,0,0,0,2.5
8,8,2,0,,,,75.288,0,0,0,17.5
8,9,2,0,,,,106.248,0,0,0,44.16666666666666
8,10,2,0,,,,93.96,0,0,0,109.16666666666669
8,11,2,0,,,,81.348,0,0,0,125.83333333333331
8,12,2,0,,,,69.312,0,0,0,240.83333333333331
8,13,2,0,,,,65.94,0,0,0,350.0
8,14,2,0,,,,73.236,0,0,0,257.5
8,15,2,0,,,,64.8,0,0,0,275.0
8,16,2,0,,,,64.428,0,0,0,254.16666666666663
8,17,2,0,,,,71.52,0,0,0,146.66666666666666
8,18,2,0,,,,74.208,0,0,0,77.5
8,19,2,0,,,,71.736,0,0,0,50.833333333333336
8,20,2,0,,,,77.352,0,0,0,47.5
8,21,2,0,,,,76.968,0,0,0,2.5
8,22,2,0,,,,76.236,0,0,0,0.0
8,23,2,0,,,,63.288,0,0,0,0.0
8,24,2,0,,,,59.724,0,0,0,0.0
8,1,3,0,,,,54.888,0,0,0,0.0
8,2,3,0,,,,54.648,0,0,0,0.0
8,3,3,0,,,,57.12,0,0,0,0.0
8,4,3,0,,,,54.504,0,0,0,0.0
8,5,3,0,,,,57.18,0,0,0,0.0
8,6,3,0,,,,59.376,0,0,0,0.0
8,7,3,0,,,,63.648,0,0,0,6.666666666666667
8,8,3,0,,,,79.368,0,0,0,24.166666666666668
8,9,3,0,,,,119.424,0,0,0,45.0
8,10,3,0,,,,97.068,0,0,0,103.33333333333331
8,11,3,0,,,,81.528,0,0,0,169.16666666666666
8,12,3,0,,,,72.204,0,0,0,269.16666666666663
8,13,3,0,,,,71.484,0,0,0,352.5
8,14,3,0,,,,60.12,0,0,0,435.8333333333333
8,15,3,0,,,,66.948,0,0,0,416.6666666666667
8,16,3,0,,,,60.696,0,0,0,425.8333333333333
8,17,3,0,,,,64.056,0,0,0,273.3333333333333
8,18,3,0,,,,70.38,0,0,0,130.0
8,19,3,0,,,,71.772,0,0,0,120.0
8,20,3,0,,,,74.868,0,0,0,67.5
8,21,3,0,,,,80.244,0,0,0,35.833333333333336
8,22,3,0,,,,76.56,0,0,0,2.5
8,23,3,0,,,,55.992,0,0,0,0.0
8,24,3,0,,,,54.084,0,0,0,0.0
8,1,4,0,,,,54.168,0,0,0,0.0
8,2,4,0,,,,58.344,0,0,0,0.0
8,3,4,0,,,,56.088,0,0,0,0.0
8,4,4,0,,,,57.972,0,0,0,0.0
8,5,4,0,,,,57.216,0,0,0,0.0
8,6,4,0,,,,56.652,0,0,0,2.5
8,7,4,0,,,,60.996,0,0,0,23.33333333333333
8,8,4,0,,,,67.668,0,0,0,155.0
8,9,4,0,,,,94.536,0,0,0,220.0
8,10,4,0,,,,71.772,0,0,0,387.5
8,11,4,0,,,,43.248,0,0,0,571.6666666666666
8,12,4,0,,,,67.872,0,0,0,431.6666666666667
8,13,4,0,,,,36.504,0,0,0,651.6666666666666
8,14,4,0,,,,47.628,0,0,0,635.0
8,15,4,0,,,,35.64,0,0,0,627.5
8,16,4,0,,,,17.616,0,0,0,726.6666666666666
8,17,4,0,,,,46.152,0,0,0,426.6666666666667
8,18,4,0,,,,55.224,0,0,0,260.0
8,19,4,0,,,,58.068,0,0,0,244.16666666666663
8,20,4,0,,,,72.396,0,0,0,75.0
8,21,4,0,,,,80.184,0,0,0,26.666666666666668
8,22,4,0,,,,77.28,0,0,0,9.166666666666666
8,23,4,0,,,,59.04,0,0,0,0.0
8,24,4,0,,,,57.12,0,0,0,0.0
8,1,5,0,,,,55.14,0,0,0,0.0
8,2,5,0,,,,59.004,0,0,0,0.0
8,3,5,0,,,,60.36,0,0,0,0.0
8,4,5,0,,,,57.492,0,0,0,0.0
8,5,5,0,,,,58.62,0,0,0,0.0
8,6,5,0,,,,59.508,0,0,0,0.0
8,7,5,0,,,,64.848,0,0,0,13.333333333333334
8,8,5,0,,,,83.592,0,0,0,81.66666666666667
8,9,5,0,,,,97.296,0,0,0,243.33333333333331
8,10,5,0,,,,73.584,0,0,0,269.16666666666663
8,11,5,0,,,,51.612,0,0,0,492.5
8,12,5,0,,,,81.432,0,0,0,195.0
8,13,5,0,,,,57.492,0,0,0,334.1666666666667
8,14,5,0,,,,48.072,0,0,0,615.0
8,15,5,0,,,,46.8,0,0,0,497.5
8,16,5,0,,,,25.944,0,0,0,670.0
8,17,5,0,,,,25.62,0,0,0,627.5
8,18,5,0,,,,40.152,0,0,0,450.8333333333333
8,19,5,0,,,,56.016,0,0,0,232.5
8,20,5,0,,,,65.196,0,0,0,153.33333333333334
8,21,5,0,,,,85.404,0,0,0,73.33333333333333
8,22,5,0,,,,82.68,0,0,0,0.8333333333333334
8,23,5,0,,,,56.448,0,0,0,0.0
8,24,5,0,,,,52.236,0,0,0,0.0
8,1,6,0,,,,51.612,0,0,0,0.0
8,2,6,0,,,,51.54,0,0,0,0.0
8,3,6,0,,,,51.228,0,0,0,0.0
8,4,6,0,,,,52.152,0,0,0,0.0
8,5,6,0,,,,53.892,0,0,0,0.0
8,6,6,0,,,,51.732,0,0,0,0.0
8,7,6,0,,,,58.956,0,0,0,3.333333333333333
8,8,6,0,,,,67.668,0,0,0,52.5
8,9,6,0,,,,102.156,0,0,0,93.33333333333331
8,10,6,0,,,,74.388,0,0,0,182.5
8,11,6,0,,,,44.472,0,0,0,482.5
8,12,6,0,,,,36.204,0,0,0,614.1666666666666
8,13,6,0,,,,17.148,0,0,0,787.5
8,14,6,0,,,,32.652,0,0,0,655.8333333333334
8,15,6,0,,,,30.636,0,0,0,565.8333333333334
8,16,6,0,,,,21.852,0,0,0,558.3333333333334
8,17,6,0,,,,10.464,0,0,0,610.8333333333334
8,18,6,0,,,,54.684,0,0,0,263.3333333333333
8,19,6,0,,,,67.8,0,0,0,90.0
8,20,6,0,,,,75.84,0,0,0,72.5
8,21,6,0,,,,79.68,0,0,0,17.5
8,22,6,0,,,,71.604,0,0,0,2.5
8,23,6,0,,,,57.072,0,0,0,0.0
8,24,6,0,,,,52.56,0,0,0,0.0
8,1,7,0,,,,51.708,0,0,0,0.0
8,2,7,0,,,,49.872,0,0,0,0.0
8,3,7,0,,,,52.164,0,0,0,0.0
8,4,7,0,,,,50.556,0,0,0,0.0
8,5,7,0,,,,52.464,0,0,0,0.0
8,6,7,0,,,,50.172,0,0,0,0.0
8,7,7,0,,,,55.716,0,0,0,5.0
8,8,7,0,,,,63.816,0,0,0,29.166666666666668
8,9,7,0,,,,101.616,0,0,0,91.66666666666669
8,10,7,0,,,,80.844,0,0,0,135.0
8,11,7,0,,,,63.66,0,0,0,280.8333333333333
8,12,7,0,,,,64.644,0,0,0,273.3333333333333
8,13,7,0,,,,56.928,0,0,0,333.3333333333333
8,14,7,0,,,,46.428,0,0,0,504.1666666666667
8,15,7,0,,,,29.472,0,0,0,711.6666666666666
8,16,7,0,,,,64.452,0,0,0,201.66666666666663
8,17,7,0,,,,68.688,0,0,0,99.16666666666669
8,18,7,0,,,,67.608,0,0,0,122.5
8,19,7,0,,,,59.304,0,0,0,148.33333333333334
8,20,7,0,,,,69.732,0,0,0,117.5
8,21,7,0,,,,78.612,0,0,0,15.833333333333334
8,22,7,0,,,,79.344,0,0,0,0.0
8,23,7,0,,,,53.604,0,0,0,0.0
8,24,7,0,,,,52.104,0,0,0,0.0
8,1,1,0,,,,51.336,0,0,0,0.0
8,2,1,0,,,,50.868,0,0,0,0.0
8,3,1,0,,,,51.648,0,0,0,0.0
8,4,1,0,,,,49.536,0,0,0,0.0
8,5,1,0,,,,50.148,0,0,0,0.0
8,6,1,0,,,,52.836,0,0,0,0.0
8,7,1,0,,,,55.536,0,0,0,5.833333333333333
8,8,1,0,,,,90.0,0,0,0,45.833333333333336
8,9,1,0,,,,118.692,0,0,0,38.333333333333336
